,id,assets,liabilities,buffer,weights,impaired_loans_divide_by_gross_customer_loans_advances,loan_loss_reserves_divide_by_impaired_loans,customer_loans_advances_divide_by_total_assets,net_charge_offs_divide_by_average_gross_customer_loans_advances,unreserved_impaired_loans_divide_by_equity,credit rank
13696,23697,0.28545,0.253302,13.95,15.488752,3.56675435,725.6498463,75.26,0.271851994,7.454022366,D+
13697,23698,0.115267,0.101798,26.42,27.637065,7.45,36.24,44.42,1.076,12.71,D++
13698,23699,0.101537,0.092083,38.45,39.64362,0.758,36.718,32.216,0.057,1.23,C--
13699,23700,0.006926,0.005931,49.42,50.432857,3.544885921,955.401341,61.22,2.05,-5.15,D++
13700,23701,68.9716,63.565758,20.45,153.987358,1.29,202.01,52.99,0.11,-9.11,D++
13701,23702,0.011457,0.008691,51.9,52.920148,3.492052061,804.2263881,54.09,0.57,-2.47,D++
13702,23703,0.04388,0.039308,35.76,36.843188,3.18,98.41,34.87,1.07,0.11,C--
13703,23704,0.108244,0.094272,64.18,65.382516,3.532514671,744.8333795,47.32,0.16,-1.73,D++
13704,23705,0.596047,0.51754,52.08,54.193587,0.437,41.859,27.842,0.035,0.413,C--
13705,23706,1.1589,1.073158,26.99,30.222058,0.13,1150.26,74.32,0.15,-13.96,D+
13706,23707,0.003682,0.003446,13.88,14.887128,3.668120742,834.6838189,84.85,0.81,-16.98,D
13707,23708,0.004409,0.003891,71.9,72.9083,3.593964967,673.0082865,34.66,-0.24,-1.74,C--
13708,23709,0.011974,0.007929,19.77,20.789903,1.25,94.6,79.92,0.308149203,0.16,D+
13709,23710,0.002328,0.001746,36.67,37.674074,3.633541397,822.3039158,64.86,-0.13,-6.58,D+
13710,23711,0.722823,0.553685,30.77,33.046508,0.607,275.298,41.79,2.01,-7.59,C--
13711,23712,0.333079,0.300495,23.81,25.443574,3.94,51.72,70.43,1.02,13.98,D+
13712,23713,0.164928,0.109944,58.39,59.664872,3.565332605,735.1341512,48.83,0.156,-3.97,D++
13713,23714,0.135935,0.119835,52.03,53.28577,0.039,755.72,24.18,0.013,-2.89,C--
