id,impaired_loans_divide_by_gross_customer_loans_advances,loan_loss_reserves_divide_by_impaired_loans,customer_loans_advances_divide_by_total_assets,net_charge_offs_divide_by_average_gross_customer_loans_advances,unreserved_impaired_loans_divide_by_equity,credit rank
20509,0.16,821.13,46.31,0.02,-5.61,C
20510,0,2259.12,64.06,0,-5.86,C-
20511,0.22,409.3,42.06,-0.04,-2.64,C
20512,2.42,29.34,77.31,0.15,16.58,C-
20513,3.517423426,747.8520545,68.97,0.19,-2.08,C-
20514,4.54,60.93,83.08,-0.6,21.54,C--
20515,0.961,215.79,51.554,0.284,-3.627,C
20516,5.518,19.819,49.141,-0.013,67.057,C
20517,7.42,11.699,65.16,0.056,-110.96,C-
20518,3.642207566,655.948455,51.912,0.24825311,8.612528316,C
20519,1.99,131.62,55.67,1.5,-4.81,C
20520,3.569509524,786.1077731,70.84,0.18,-5.79,C-
20521,0.72,157.69,52.53,0.04,-2.19,C
20522,3.473195359,1180.431214,61.88,0,-3.85,C-
20523,0.01,7250,33.09,0.02,-2.6,C+
20524,3.564843626,675.5515389,73.41,0.47,-8.73,C-
20525,3.593273669,864.2622672,50.47,1.26,-7.58,C
20526,1.96,65.56,27.72,0.106,1.14,C+
20527,0.22,285.37,72,0,-3.97,C-
20528,2.12,61.14,60.29,0.24,5.82,C-
20529,7.86,57.1,67.49,1.56,25.54,C-
20530,3.54950781,753.8338184,69.82,0.34,-4.42,C-
20531,3.58267055,663.2210331,36.93,0.21,-2.54,C+
20532,1.242,779.225,63.277,0.287,4.034,C-
20533,4.404,35.258,36.161,0,26.587,C+
20534,3.575258037,737.8284385,30.34,0.83,-1.71,C+
20535,3.517978876,807.7805078,57.14,0.29,-4.03,C
20536,12.28,63.81,42.8,1.31,14.36,C
20537,3.577493127,709.2059074,77.99,0.15,-2.14,C-
20538,4.92,63.93,81.26,-0.7,19.32,C--
20539,4.474,35.841,66.83,-0.008,22.09,C-
20540,3.521593987,796.8946852,50.31,0.3,-5.24,C
20541,0,205.858,50.36,-0.12,-5.79,C
20542,0.84,15.91,83.25,0.03,7.54,C--
